date,player,event,source
2025-03-31,Instamart,Instamart adds a record about 316 dark stores in Q4FY25; contribution margin bottoms at -5.6% of GOV,https://www.swiggy.com/corporate/wp-content/uploads/2026/07/Q1-FY2027-Shareholder-letter.pdf
2025-06-30,Blinkit,Blinkit starts moving from marketplace to inventory-led (1P) model,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf
2025-06-30,Instamart,Maxxsaver basket-building offer launched; used by 28% of MTUs in its first quarter,https://www.swiggy.com/corporate/wp-content/uploads/2025/07/Q1-FY2026-Shareholder-letter.pdf
2025-10-31,Zepto,Zepto raises capital at about $7bn valuation,https://unlistedzone.com/zepto-fy26-loss-ad-revenue-ipo-paused
2025-11-21,Industry,"New labour codes take effect; aggregators to fund gig-worker social security (1-2% of turnover, capped at 5% of payouts)",https://www.fisherphillips.com/en/insights/insights/indias-new-labor-codes-extend-social-security-coverage-to-gig-workers
2025-12-31,Blinkit,Blinkit turns Adj. EBITDA positive (Q3FY26),https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf
2025-12-31,Instamart,"Swiggy raises about ₹9,931 Cr via QIP",https://www.swiggy.com/corporate/wp-content/uploads/2026/07/Q1-FY2027-Shareholder-letter.pdf
2026-01-13,Industry,Labour ministry asks platforms to drop the '10-minute delivery' promise after rider strike,https://techcrunch.com/2026/01/13/india-reportedly-tells-quick-commerce-firms-to-drop-10-minute-delivery-promise/
2026-05-31,Instamart,Instamart hits contribution break-even for the month of May,https://www.swiggy.com/corporate/wp-content/uploads/2026/07/Q1-FY2027-Shareholder-letter.pdf
2026-06-09,Zepto,"Zepto files updated DRHP: FY26 revenue ₹22,624 Cr, loss ₹5,905 Cr",https://entrackr.com/fintrackr/zepto-doubles-revenue-in-fy26-losses-widen-to-rs-5905-cr-12016560
2026-07-23,Instamart,Swiggy board caps foreign ownership at 49.5% to qualify as IOCC (unlocks inventory model),https://www.swiggy.com/corporate/wp-content/uploads/2026/07/Q1-FY2027-Shareholder-letter.pdf
2026-07-31,Zepto,Zepto IPO reported paused for 1-2 quarters,https://unlistedzone.com/zepto-fy26-loss-ad-revenue-ipo-paused
2026-08-02,Industry,"Top 5 players add about 900 dark stores in Apr-Jul; Flipkart Minutes crosses 1,000",https://www.business-standard.com/companies/news/beyond-expansion-quick-commerce-seeks-more-growth-from-existing-assets-126080200252_1.html
