platform,quarter,period_end,gov_cr,nov_cr,revenue_cr,contribution_cr,cm_pct_gov,adj_ebitda_cr,orders_mn,aov_inr,nov_pct_gov,mtu_mn,stores_end,nov_per_store_day_k,orders_per_store_day,store_area_mn_sqft,gov_per_sqft_inr,source,notes
Blinkit,Q4FY24,2024-03-31,4027.0,3336.0,769.0,158.0,,-37,,,,,526,,,,,https://b.zmtcdn.com/investor-relations/d9c290cd23764a09789769c39682276a_1746094084.pdf,stores: Eternal company overview (FY24 526)
Blinkit,Q1FY25,2024-06-30,4923.0,4061.0,942.0,199.0,,-3,,,,,639,,,,,https://b.zmtcdn.com/investor-relations/d9c290cd23764a09789769c39682276a_1746094084.pdf,"stores derived from Q3FY25 letter (1,007 less 216 / 152 net adds)"
Blinkit,Q2FY25,2024-09-30,6132.0,4928.0,1156.0,234.0,,-8,,,,,791,,,,,https://b.zmtcdn.com/investor-relations/d9c290cd23764a09789769c39682276a_1746094084.pdf,"stores derived from Q3FY25 letter (1,007 less 216 / 152 net adds)"
Blinkit,Q3FY25,2024-12-31,7798.0,6020.0,1399.0,232.0,,-103,,,,,1007,,,,,https://b.zmtcdn.com/investor-relations/d9c290cd23764a09789769c39682276a_1746094084.pdf,stores: Q3FY25 letter
Blinkit,Q4FY25,2025-03-31,9421.0,7362.0,1709.0,289.0,,-178,,,,,1301,,,,,https://b.zmtcdn.com/investor-relations/d9c290cd23764a09789769c39682276a_1746094084.pdf,"stores: FY25 1,301 (Eternal company overview Jul-2025)"
Blinkit,Q1FY26,2025-06-30,,9203.0,2400.0,360.0,,-162,176.7,,,16.9,1544,734.0,,,,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf,"Revenue jumps from Q2FY26: shift to inventory-led (1P) model, revenue now includes goods sold; orders include cancelled orders"
Blinkit,Q2FY26,2025-09-30,,11679.0,9891.0,542.0,,-156,222.7,,,20.8,1816,771.0,,,,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf,"Revenue jumps from Q2FY26: shift to inventory-led (1P) model, revenue now includes goods sold; orders include cancelled orders"
Blinkit,Q3FY26,2025-12-31,,13300.0,12256.0,736.0,,4,243.3,,,23.6,2027,750.0,,,,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf,"Revenue jumps from Q2FY26: shift to inventory-led (1P) model, revenue now includes goods sold; orders include cancelled orders"
Blinkit,Q4FY26,2026-03-31,,14386.0,13232.0,782.0,,37,273.9,,,27.2,2243,768.0,,,,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf,"Revenue jumps from Q2FY26: shift to inventory-led (1P) model, revenue now includes goods sold; orders include cancelled orders"
Blinkit,Q1FY27,2026-06-30,,17132.0,15664.0,907.0,,102,331.0,,,31.8,2443,827.0,,,,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q1FY27_Results.pdf,"Revenue jumps from Q2FY26: shift to inventory-led (1P) model, revenue now includes goods sold; orders include cancelled orders"
Instamart,Q1FY25,2024-06-30,2727.0,2400.0,,,,-318,56.0,487.0,0.88,5.2,557,,1144.0,,16402.0,https://www.swiggy.com/corporate/wp-content/uploads/2025/07/Q1-FY2026-Shareholder-letter.pdf,GOV = orders x AOV (derived); NOV = GOV x NOV% (derived); CM% not comparable pre-Q4FY25
Instamart,Q2FY25,2024-09-30,3393.0,2884.0,,,,-359,68.0,499.0,0.85,6.2,609,,1260.0,,17359.0,https://www.swiggy.com/corporate/wp-content/uploads/2025/07/Q1-FY2026-Shareholder-letter.pdf,GOV = orders x AOV (derived); NOV = GOV x NOV% (derived); CM% not comparable pre-Q4FY25
Instamart,Q3FY25,2024-12-31,3898.0,3079.0,,,,-578,73.0,534.0,0.79,7.0,705,,1236.0,,15946.0,https://www.swiggy.com/corporate/wp-content/uploads/2025/07/Q1-FY2026-Shareholder-letter.pdf,GOV = orders x AOV (derived); NOV = GOV x NOV% (derived); CM% not comparable pre-Q4FY25
