quarter,period_end,orders_mn,orders_per_day,orders_per_store_day,nrv_cr,stores_end,atu_mn,ad_pct_nrv,revenue_cr,adj_ebitda_cr,adj_ebitda_per_order_inr,adj_ebitda_pct_nrv,fcf_per_order_inr,cash_incl_investments_cr,platform,source,notes
Q1FY24,2023-06-30,25.45,279649,1279,1017.3,231,5.98,,866.4,-243.9,-95.84,-23.98,-99.28,795.4,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q2FY24,2023-09-30,28.48,309539,1246,1152.1,271,6.43,,1035.5,-233.0,-81.83,-20.23,-85.34,2143.3,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q3FY24,2023-12-31,33.79,367330,1243,1335.6,321,7.97,0.08,1145.3,-309.1,-91.47,-23.15,-111.52,2147.4,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q4FY24,2024-03-31,45.15,496154,1488,1726.7,337,10.57,3.3,1407.3,-338.5,-74.98,-19.61,-81.69,1688.3,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q1FY25,2024-06-30,51.23,563012,1648,2013.7,356,12.51,4.43,1649.5,-316.0,-61.68,-15.69,-66.26,1321.3,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q2FY25,2024-09-30,62.61,680597,1735,2459.7,497,16.16,4.14,2055.7,-821.9,-131.26,-33.41,-139.14,8723.9,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q3FY25,2024-12-31,94.64,1028738,1625,3527.7,872,25.5,6.44,3126.7,-1620.0,-171.17,-45.92,-204.86,9626.5,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q4FY25,2025-03-31,123.61,1373487,1425,4702.7,1029,38.38,7.45,4278.1,-1763.8,-142.68,-37.51,-176.59,7440.8,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q1FY26,2025-06-30,128.8,1415365,1388,5171.3,1024,43.66,8.52,4622.3,-1009.1,-78.35,-19.51,-77.93,6437.0,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q2FY26,2025-09-30,134.45,1461439,1433,5174.8,1046,48.55,7.05,4685.4,-1476.3,-109.8,-28.53,-102.84,5054.3,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q3FY26,2025-12-31,166.91,1814288,1722,6335.6,1065,49.54,7.64,5818.3,-1308.7,-78.4,-20.66,-63.55,6562.8,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
Q4FY26,2026-03-31,210.01,2333488,2140,8133.9,1139,47.97,7.88,7497.6,-1247.5,-59.4,-15.34,-42.01,5680.5,Zepto,https://www.sebi.gov.in/sebi_data/commondocs/jun-2026/Zepto%20Limited%20-%20abridged_p.pdf,"NRV includes ad income, user fees and subscriptions (inclusive of taxes), so it runs higher than a like-for-like NOV. Orders = successfully placed."
